m,k,nodes,edges,girth,is_bipartite,spectral_asymmetry,diameter,radius,graph_energy,lambda_max,lambda_min,algebraic_connectivity,avg_clustering_coeff,avg_shortest_path
3,50,312,468,3,False,0.0012165438476103851,103,52,486.03092385864966,2.999999999999995,-2.9987834561523847,0.0012165438476097882,0.006410256410256409,34.82525352461044
4,0,16,24,4,False,0.5857864376269095,4,4,23.92694917562467,3.0000000000000018,-2.4142135623730923,0.763932022500209,0.0,2.3333333333333335
4,1,24,36,4,False,0.3542486889354066,6,5,36.26201291949546,2.999999999999998,-2.645751311064591,0.35424868893540695,0.0,2.971014492753623
4,2,32,48,4,False,0.20206734806818538,7,5,48.68525084010745,2.9999999999999942,-2.797932651931809,0.20206734806818566,0.0,3.5483870967741935
4,3,40,60,4,False,0.1301449553157239,9,6,61.16999639230414,3.000000000000002,-2.8698550446842783,0.13014495531572384,0.0,4.123076923076923
4,4,48,72,4,False,0.09068708882358978,11,6,73.69778157429465,2.999999999999998,-2.909312911176408,0.09068708882359179,0.0,4.709219858156028
4,5,56,84,4,False,0.06676365227591186,13,7,86.25653874747613,2.9999999999999925,-2.9332363477240806,0.06676365227592027,0.0,5.3090909090909095
4,6,64,96,4,False,0.051183605233270146,15,8,98.83800490138205,2.9999999999999996,-2.9488163947667294,0.05118360523325419,0.0,5.920634920634921
4,7,72,108,4,False,0.04047799752329917,17,9,111.43625346536042,2.999999999999995,-2.959522002476696,0.04047799752331437,0.0,6.541471048513302
4,8,80,120,4,False,0.03280838751849746,19,10,124.04690919008816,3.000000000000003,-2.9671916124815056,0.03280838751848679,0.0,7.169620253164557
4,9,88,132,4,False,0.027127332955901196,21,11,136.6667021665294,3.0000000000000218,-2.9728726670441206,0.027127332955887283,0.0,7.80355276907001
4,10,96,144,4,False,0.022802776913115164,23,12,149.29318586431924,3.000000000000006,-2.977197223086891,0.022802776913114137,0.0,8.442105263157895
